Segundo,Bytes_Por_Segundo
40.30972246,1444
40.309784026,1444
40.309851796,1444
40.309906841,1444
40.30998458,1444
40.310041283,1444
40.31011548,1444
40.310212412,1444
40.310267417,1444
40.310322985,1444
40.310380417,1444
40.310441013,1444
40.310511619,1444
40.310565915,1444
40.310642676,1444
40.310697917,1444
40.310774653,1444
40.310877461,1444
40.310921574,1444
40.31099537,1444
40.311054639,1444
40.311108621,1444
40.311169629,1444
40.31124837,1444
40.311301654,1444
40.311358735,1444
40.311433602,1444
40.311488264,1444
40.311565536,1444
40.311624931,1444
40.311697782,1444
40.311753118,1444
40.311829592,1444
40.311887589,1444
40.311968252,1444
40.312046408,1444
40.312094443,1444
40.31215045,1444
40.312224702,1444
40.312286795,1444
40.31235667,1444
40.312413263,1444
40.312487745,1444
40.312541454,1444
40.312619566,1444
40.312679485,1444
40.312751738,1444
40.312805079,1444
40.312883696,1444
40.312937037,1444
40.313014395,1444
40.313075591,1444
40.313146712,1444
40.313201814,1444
40.313279636,1444
40.313333367,1444
40.313409857,1444
40.313475109,1444
40.313541818,1444
40.313598028,1444
40.31367449,1444
40.31373343,1444
40.313806598,1444
40.313865455,1444
40.313937491,1444
40.313992992,1444
40.314068768,1444
40.314127069,1444
40.314201754,1444
40.314272985,1444
40.314332555,1444
40.314391742,1444
40.3144637,1444
40.314543287,1444
40.314596557,1444
40.314651723,1444
40.314727375,1444
40.314785041,1444
40.314859564,1444
40.314971092,1444
40.31505531,1444
40.31511792,1444
40.315126404,1444
40.315181694,1444
40.315254693,1444
40.315313174,1444
40.315387701,1444
40.31544295,1444
40.315518632,1444
40.315585325,1444
40.315650844,1444
40.315706103,1444
40.315782552,1444
40.315841817,1444
40.315913727,1444
40.315979524,1444
40.316046524,1444
40.316101144,1444
40.316178486,1444
40.31623622,1444
40.316308488,1444
40.316366899,1444
40.316441456,1444
40.31649543,1444
40.316572402,1444
40.316668674,1444
40.316723789,1444
40.316784693,1444
40.316836501,1444
40.316891616,1444
40.31696863,1444
40.317024997,1444
40.317099518,1444
40.317157718,1444
40.317231613,1444
40.317286851,1444
40.3173637,1444
40.317420408,1444
40.317494686,1444
40.317553006,1444
40.317627367,1444
40.317701297,1444
40.31775861,1444
40.31781999,1444
40.317890493,1444
40.317945348,1444
40.318021456,1444
40.318079401,1444
40.318153759,1444
40.318493042,1444
40.318636256,1444
40.31864802,1444
40.318654769,1444
40.318708199,1444
40.318716638,1444
40.318721619,1444
40.318727642,1444
40.318818306,1444
40.318826042,1444
40.318877925,1444
40.318960774,1444
40.31907625,1444
40.319116056,1444
40.31912573,1444
40.319258179,1444
40.319315223,1444
40.319337488,1444
40.319393858,1444
40.319471665,1444
40.319529116,1444
40.319603589,1444
40.319661938,1444
40.31973556,1444
40.319793417,1444
40.319866768,1444
40.31992676,1444
40.32000867,1444
40.320071083,1444
40.320131705,1444
40.320188502,1444
40.320261635,1444
40.320315157,1444
40.320394741,1444
40.320452564,1444
40.320526679,1444
40.320585953,1444
40.320657551,1444
40.320711259,1444
40.320789476,1444
40.320847485,1444
40.320938617,1444
40.32101574,1444
40.32105364,1444
40.32110728,1444
40.321184428,1444
40.321246129,1444
40.321316748,1444
40.321375469,1444
40.321447673,1444
40.321504986,1444
40.321580397,1444
40.321637472,1444
40.321711514,1444
40.321766499,1444
40.321843774,1444
40.321900756,1444
40.321974786,1444
40.322051928,1444
40.322106535,1444
40.32216229,1444
40.322239465,1444
40.322295913,1444
40.322370664,1444
40.322427892,1444
40.322502701,1444
40.322557763,1444
40.32263438,1444
40.322690611,1444
40.322771948,1444
40.322826413,1444
40.322953847,1444
40.323018894,1444
40.323062467,1444
40.323144083,1444
40.32316476,1444
40.323216849,1444
40.323292548,1444
40.323375277,1444
40.323424602,1444
40.323485972,1444
40.323557561,1444
40.323614935,1444
40.323688663,1444
40.32375317,1444
40.323820478,1444
40.323877596,1444
40.323965741,1444
40.324041795,1444
40.324086806,1444
40.324152079,1444
40.324216799,1444
40.32427387,1444
40.324347464,1444
40.324404123,1444
40.324479613,1444
40.324543445,1444
40.324610857,1444
40.324667195,1444
40.324743698,1444
40.324803319,1444
40.324873471,1444
40.324936743,1444
40.325005623,1444
40.32506089,1444
40.325137762,1444
40.325195752,1444
40.325284462,1444
40.325352177,1444
40.325414615,1444
40.325471586,1444
40.32553369,1444
40.325603215,1444
40.325664525,1444
40.325719897,1444
40.325797562,1444
40.325854441,1444
40.325928556,1444
40.325991132,1444
40.326059779,1444
40.326115236,1444
40.326192435,1444
40.326247625,1444
40.32632351,1444
40.326404377,1444
40.326455476,1444
40.326513038,1444
40.326586712,1444
40.326642935,1444
40.326718626,1444
40.326780069,1444
40.326850782,1444
40.326928228,1444
40.326983449,1444
40.327040666,1444
40.327113501,1444
40.327175068,1444
40.327245603,1444
40.327302866,1444
40.327383049,1444
40.327459329,1444
40.327529525,1444
40.327587398,1444
40.327641471,1444
40.327702609,1444
40.327772523,1444
40.327832857,1444
40.32790546,1444
40.327966567,1444
40.328036677,1444
40.328098741,1444
40.328169509,1444
40.328229191,1444
40.328300538,1444
40.328358213,1444
40.328431791,1444
40.328505792,1444
40.328565532,1444
40.328625239,1444
40.328695536,1444
40.328752092,1444
40.32882772,1444
40.32888817,1444
40.328958435,1444
40.329286501,1444
40.329423274,1444
40.329434991,1444
40.329441014,1444
40.329494453,1444
40.329502152,1444
40.329507869,1444
40.329513928,1444
40.329600882,1444
40.329638505,1444
40.32969908,1444
40.329749719,1444
40.32980648,1444
